age,cohort,cage,n
0,1,1,6707
1,1,1,6707
2,1,1,6682
3,1,1,6643
4,1,1,6612
5,1,1,6574
6,1,1,6533
7,1,1,6480
8,1,1,6317
9,1,1,6133
10,1,1,5783
11,1,1,5459
12,1,1,5277
13,1,1,4852
14,1,1,4545
15,1,1,4279
16,1,1,3916
17,1,1,3592
18,1,1,3183
19,1,1,2912
20,1,1,2523
21,1,1,2219
22,1,1,1913
23,1,1,1686
24,1,1,1454
25,1,1,1275
26,1,1,1100
27,1,1,987
28,1,1,841
29,1,1,723
30,1,1,611
31,1,1,518
32,1,1,421
33,1,1,350
34,1,1,297
35,1,1,240
36,1,1,195
37,1,1,166
38,1,1,133
39,1,1,109
40,1,1,85
41,1,1,76
42,1,1,65
43,1,1,50
44,1,1,44
45,1,1,30
46,1,1,27
47,1,1,19
48,1,1,13
49,1,1,8
50,1,1,8
51,1,1,5
52,1,1,2
53,1,1,2
54,1,1,2
55,1,1,2
56,1,1,2
57,1,1,2
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,0
62,1,1,0
63,1,1,0
64,1,1,0
65,1,1,0
66,1,1,0
67,1,1,0
68,1,1,0
69,1,1,0
70,1,1,0
71,1,1,0
72,1,1,0
73,1,1,0
74,1,1,0
75,1,1,0
76,1,1,0
77,1,1,0
78,1,1,0
79,1,1,0
80,1,1,0
81,1,1,0
82,1,1,0
83,1,1,0
84,1,1,0
85,1,1,0
86,1,1,0
87,1,1,0
88,1,1,0
89,1,1,0
90,1,1,0
91,1,1,0
92,1,1,0
93,1,1,0
94,1,1,0
95,1,1,0
96,1,1,0
97,1,1,0
98,1,1,0
99,1,1,0
100,1,1,0
101,1,1,0
102,1,1,0
103,1,1,0
104,1,1,0
105,1,1,0
106,1,1,0
107,1,1,0
108,1,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,1,1,0
113,1,1,0
114,1,1,0
115,1,1,0
116,1,1,0
117,1,1,0
118,1,1,0
119,1,1,0
120,1,1,0
121,1,1,0
122,1,1,0
123,1,1,0
124,1,1,0
125,1,1,0
126,1,1,0
127,1,1,0
128,1,1,0
129,1,1,0
130,1,1,0
131,1,1,0
132,1,1,0
133,1,1,0
134,1,1,0
135,1,1,0
136,1,1,0
137,1,1,0
138,1,1,0
139,1,1,0
140,1,1,0
141,1,1,0
142,1,1,0
143,1,1,0
144,1,1,0
145,1,1,0
146,1,1,0
147,1,1,0
148,1,1,0
149,1,1,0
150,1,1,0
151,1,1,0
152,1,1,0
153,1,1,0
154,1,1,0
155,1,1,0
156,1,1,0
157,1,1,0
158,1,1,0
159,1,1,0
160,1,1,0
161,1,1,0
162,1,1,0
163,1,1,0
164,1,1,0
165,1,1,0
166,1,1,0
167,1,1,0
168,1,1,0
169,1,1,0
170,1,1,0
171,1,1,0
172,1,1,0
0,1,2,7644
1,1,2,7644
2,1,2,7623
3,1,2,7595
4,1,2,7552
5,1,2,7497
6,1,2,7435
7,1,2,7328
8,1,2,6959
9,1,2,6747
10,1,2,6356
11,1,2,5834
12,1,2,5420
13,1,2,4984
14,1,2,4440
15,1,2,4165
16,1,2,3727
17,1,2,3400
18,1,2,3031
19,1,2,2720
20,1,2,2438
21,1,2,2162
22,1,2,1924
23,1,2,1652
24,1,2,1459
25,1,2,1286
26,1,2,1089
27,1,2,929
28,1,2,816
29,1,2,715
30,1,2,586
31,1,2,507
32,1,2,406
33,1,2,335
34,1,2,286
35,1,2,243
36,1,2,198
37,1,2,151
38,1,2,120
39,1,2,97
40,1,2,76
41,1,2,65
42,1,2,60
43,1,2,47
44,1,2,44
45,1,2,38
46,1,2,32
47,1,2,32
48,1,2,27
